carat,depth,table,x,y,z,price,cut
0.23,61.5,55.0,3.95,3.98,2.43,326,Ideal
0.21,59.8,61.0,3.89,3.84,2.31,326,Premium
0.23,56.9,65.0,4.05,4.07,2.31,327,Good
0.29,62.4,58.0,4.2,4.23,2.63,334,Premium
0.31,63.3,58.0,4.34,4.35,2.75,335,Good
0.24,62.8,57.0,3.94,3.96,2.48,336,Very Good
0.24,62.3,57.0,3.95,3.98,2.47,336,Very Good
0.26,61.9,55.0,4.07,4.11,2.53,337,Very Good
0.22,65.1,61.0,3.87,3.78,2.49,337,Fair
0.23,59.4,61.0,4.0,4.05,2.39,338,Very Good
0.3,64.0,55.0,4.25,4.28,2.73,339,Good
0.23,62.8,56.0,3.93,3.9,2.46,340,Ideal
0.22,60.4,61.0,3.88,3.84,2.33,342,Premium
0.31,62.2,54.0,4.35,4.37,2.71,344,Ideal
0.2,60.2,62.0,3.79,3.75,2.27,345,Premium
0.32,60.9,58.0,4.38,4.42,2.68,345,Premium
0.3,62.0,54.0,4.31,4.34,2.68,348,Ideal
0.3,63.4,54.0,4.23,4.29,2.7,351,Good
0.3,63.8,56.0,4.23,4.26,2.71,351,Good
0.3,62.7,59.0,4.21,4.27,2.66,351,Very Good
0.3,63.3,56.0,4.26,4.3,2.71,351,Good
0.23,63.8,55.0,3.85,3.92,2.48,352,Very Good
0.23,61.0,57.0,3.94,3.96,2.41,353,Very Good
0.31,59.4,62.0,4.39,4.43,2.62,353,Very Good
0.31,58.1,62.0,4.44,4.47,2.59,353,Very Good
0.23,60.4,58.0,3.97,4.01,2.41,354,Very Good
0.24,62.5,57.0,3.97,3.94,2.47,355,Premium
0.3,62.2,57.0,4.28,4.3,2.67,357,Very Good
0.23,60.5,61.0,3.96,3.97,2.4,357,Very Good
0.23,60.9,57.0,3.96,3.99,2.42,357,Very Good
0.23,60.0,57.0,4.0,4.03,2.41,402,Very Good
0.23,59.8,57.0,4.04,4.06,2.42,402,Very Good
0.23,60.7,59.0,3.97,4.01,2.42,402,Very Good
0.23,59.5,58.0,4.01,4.06,2.4,402,Very Good
0.23,61.9,58.0,3.92,3.96,2.44,402,Very Good
0.23,58.2,59.0,4.06,4.08,2.37,402,Good
0.23,64.1,59.0,3.83,3.85,2.46,402,Good
0.31,64.0,54.0,4.29,4.31,2.75,402,Good
0.26,60.8,59.0,4.13,4.16,2.52,403,Very Good
0.33,61.8,55.0,4.49,4.51,2.78,403,Ideal
0.33,61.2,56.0,4.49,4.5,2.75,403,Ideal
0.33,61.1,56.0,4.49,4.55,2.76,403,Ideal
0.26,65.2,56.0,3.99,4.02,2.61,403,Good
0.26,58.4,63.0,4.19,4.24,2.46,403,Good
0.32,63.1,56.0,4.34,4.37,2.75,403,Good
0.29,62.4,58.0,4.24,4.26,2.65,403,Premium
0.32,61.8,55.0,4.35,4.42,2.71,403,Very Good
